datum,ort,neuPositiv,inzidenz7tage
2021-11-25,Anzing,2,812.64
2021-11-26,Anzing,5,677.2
2021-11-27,Anzing,0,609.48
2021-11-28,Anzing,0,428.89
2021-11-29,Anzing,1,428.89
2021-11-30,Anzing,4,361.17
2021-12-01,Anzing,3,338.6
2021-12-02,Anzing,4,383.75
2021-12-03,Anzing,0,270.88
2021-12-04,Anzing,2,316.03
2021-12-05,Anzing,3,383.75
2021-12-06,Anzing,1,383.75
2021-12-07,Anzing,2,338.6
2021-12-08,Anzing,0,270.88
2021-12-09,Anzing,0,180.59
2021-12-10,Anzing,3,248.31
2021-12-11,Anzing,0,203.16
2021-12-12,Anzing,0,135.44
2021-12-13,Anzing,0,112.87
2021-12-14,Anzing,3,135.44
2021-12-15,Anzing,1,158.01
2021-12-16,Anzing,0,158.01
2021-12-17,Anzing,2,135.44
2021-12-18,Anzing,0,135.44
2021-12-19,Anzing,0,135.44
2021-12-20,Anzing,0,135.44
2021-12-21,Anzing,0,67.72
2021-12-22,Anzing,1,67.72
2021-12-23,Anzing,0,67.72
2021-12-24,Anzing,0,22.57
2021-12-25,Anzing,6,158.01
2021-12-26,Anzing,1,180.59
2021-12-27,Anzing,2,225.73
2021-12-28,Anzing,8,406.32
2021-12-29,Anzing,4,474.04
2021-12-30,Anzing,2,519.19
2021-12-31,Anzing,1,541.76
2022-01-01,Anzing,0,406.32
2022-01-02,Anzing,4,474.04
2022-01-03,Anzing,0,428.89
2022-01-04,Anzing,0,248.31
2022-01-05,Anzing,2,203.16
2022-01-06,Anzing,0,158.01
2022-01-07,Anzing,3,203.16
2022-01-08,Anzing,1,225.73
2022-01-09,Anzing,0,135.44
2022-01-10,Anzing,1,158.01
2022-01-11,Anzing,3,225.73
2022-01-12,Anzing,1,203.16
2022-01-13,Anzing,3,270.88
2022-01-14,Anzing,6,338.6
2022-01-15,Anzing,2,361.17
2022-01-16,Anzing,3,428.89
2022-01-17,Anzing,4,496.61
2022-01-18,Anzing,10,654.63
2022-01-19,Anzing,11,880.36
2022-01-20,Anzing,9,1015.8
2022-01-21,Anzing,7,1038.37
2022-01-22,Anzing,10,1218.96
2022-01-23,Anzing,4,1241.53
2022-01-24,Anzing,5,1264.11
2022-01-25,Anzing,13,1331.83
2022-01-26,Anzing,11,1331.83
2022-01-27,Anzing,12,1399.55
2022-01-28,Anzing,17,1625.28
2022-01-29,Anzing,9,1602.71
2022-01-30,Anzing,7,1670.43
2022-01-31,Anzing,5,1670.43
2022-02-01,Anzing,10,1602.71
2022-02-02,Anzing,8,1534.99
