datum,einrichtung,geschlecht,erstimpfungen,zweitimpfungen,drittimpfungen
2021-09-17,Impfzentrum,Maennlich,24176,21743,0
2021-09-17,Impfzentrum,Divers,25,19,0
2021-09-18,Impfzentrum,Weiblich,27713,25142,0
2021-09-18,Impfzentrum,Maennlich,24250,21841,0
2021-09-18,Impfzentrum,Divers,25,19,0
2021-09-19,Impfzentrum,Weiblich,27747,25191,0
2021-09-19,Impfzentrum,Maennlich,24286,21882,0
2021-09-19,Impfzentrum,Divers,25,19,0
2021-09-20,Impfzentrum,Weiblich,27810,25280,134
2021-09-20,Impfzentrum,Maennlich,24342,22021,144
2021-09-20,Impfzentrum,Divers,25,19,0
2021-09-21,Impfzentrum,Weiblich,27817,25288,135
2021-09-21,Impfzentrum,Maennlich,24346,22027,145
2021-09-21,Impfzentrum,Divers,25,19,0
2021-09-22,Impfzentrum,Weiblich,27842,25331,145
2021-09-22,Impfzentrum,Maennlich,24376,22072,154
2021-09-22,Impfzentrum,Divers,25,19,0
2021-09-23,Impfzentrum,Weiblich,27863,25359,154
2021-09-23,Impfzentrum,Maennlich,24392,22116,158
2021-09-23,Impfzentrum,Divers,25,19,0
2021-09-24,Impfzentrum,Weiblich,27896,25434,167
2021-09-24,Impfzentrum,Maennlich,24441,22198,164
2021-09-24,Impfzentrum,Divers,25,19,0
2021-09-25,Impfzentrum,Weiblich,27914,25483,168
2021-09-25,Impfzentrum,Maennlich,24476,22272,166
2021-09-25,Impfzentrum,Divers,25,19,0
2021-09-26,Impfzentrum,Weiblich,27917,25504,169
2021-09-26,Impfzentrum,Maennlich,24488,22305,170
2021-09-26,Impfzentrum,Divers,25,19,0
2021-09-27,Impfzentrum,Weiblich,27947,25547,181
2021-09-27,Impfzentrum,Maennlich,24510,22358,176
2021-09-27,Impfzentrum,Divers,25,19,0
2021-09-28,Impfzentrum,Weiblich,27960,25575,186
2021-09-28,Impfzentrum,Maennlich,24531,22397,180
2021-09-28,Impfzentrum,Divers,25,19,0
2021-09-29,Impfzentrum,Weiblich,27979,25622,198
2021-09-29,Impfzentrum,Maennlich,24553,22453,191
2021-09-29,Impfzentrum,Divers,25,19,0
2021-09-30,Impfzentrum,Weiblich,27999,25671,207
2021-09-30,Impfzentrum,Maennlich,24568,22496,200
2021-09-30,Impfzentrum,Divers,25,19,0
2021-10-01,Impfzentrum,Weiblich,28037,25740,216
2021-10-01,Impfzentrum,Maennlich,24614,22593,210
2021-10-01,Impfzentrum,Divers,25,19,0
2021-10-03,Impfzentrum,Weiblich,28045,25765,223
2021-10-03,Impfzentrum,Maennlich,24630,22622,220
2021-10-03,Impfzentrum,Divers,25,20,0
2021-10-04,Impfzentrum,Weiblich,28078,NA,271
2021-10-04,Impfzentrum,Maennlich,24636,NA,240
2021-10-04,Impfzentrum,Divers,25,NA,0
2021-10-05,Impfzentrum,Weiblich,28101,25876,286
2021-10-05,Impfzentrum,Maennlich,24651,22737,262
2021-10-05,Impfzentrum,Divers,25,20,0
2021-10-06,Impfzentrum,Weiblich,28119,25905,299
2021-10-06,Impfzentrum,Maennlich,24672,22787,268
2021-10-06,Impfzentrum,Divers,25,20,0
2021-10-07,Impfzentrum,Weiblich,28135,25953,308
2021-10-07,Impfzentrum,Maennlich,24692,22835,281
2021-10-07,Impfzentrum,Divers,25,20,0
2021-10-08,Impfzentrum,Weiblich,28168,26028,324
2021-10-08,Impfzentrum,Maennlich,24725,22922,294
2021-10-08,Impfzentrum,Divers,25,20,0
2021-10-09,Impfzentrum,Weiblich,28196,26076,331
2021-10-09,Impfzentrum,Maennlich,24750,22965,302
2021-10-09,Impfzentrum,Divers,25,20,0
2021-10-10,Impfzentrum,Weiblich,28199,26078,333
2021-10-10,Impfzentrum,Maennlich,24755,22969,305
2021-10-10,Impfzentrum,Divers,25,20,0
