datum,einrichtung,altersgruppe,erstimpfungen,zweitimpfungen,drittimpfungen,viertimpfungen
2021-06-24,Impfzentrum,20-29,3571,2428,0,0
2021-06-24,Impfzentrum,30-39,4460,3153,0,0
2021-06-24,Impfzentrum,40-49,5349,3915,0,0
2021-06-24,Impfzentrum,50-59,7377,5663,0,0
2021-06-24,Impfzentrum,60-69,4993,3221,0,0
2021-06-24,Impfzentrum,70-79,7178,5047,0,0
2021-06-24,Impfzentrum,80+,7639,7137,0,0
2021-06-25,Impfzentrum,0-19,1073,658,0,0
2021-06-25,Impfzentrum,20-29,3650,2480,0,0
2021-06-25,Impfzentrum,30-39,4562,3213,0,0
