Gemeinde;Gemeindename;Gebietsnummer;Gebietsart;Gebietsname;Bezirksnummer;Ausgezaehlt abweichend Gebiet;Ausgezaehlt abweichend AGS;Ausbleibend;Wahlberechtigte gesamt (A);Wahlberechtigte ohne Wahlschein (A1);Wahlberechtigte mit Wahlschein (A2);Wahlberechtigte nicht im WVZ (A3);Waehler gesamt (B);Waehler ohne Wahlschein;Waehler mit Wahlschein;Urnenwaehler mit Wahlschein in Urnenwahllokal;Briefwaehler mit Wahlschein in Urnenwahllokal;Stimmen ungueltige (C);Stimmen gueltige (D);D1;D3;D4;
09175127;Markt Schwaben;091751270010;STIMMBEZIRK;Grafen-von-Sempt-Mittelschule Mensa;0010;;;N;972;0;0;0;209;209;0;0;0;3;206;104;23;79;
09175127;Markt Schwaben;091751270021;BRIEFWAHLBEZIRK;Sporthalle Grund-und Mittelschule 1;0021;;;N;0;0;0;0;337;0;337;0;0;8;329;173;48;108;
09175127;Markt Schwaben;091751270022;BRIEFWAHLBEZIRK;Sporthalle Grund-und-Mittelschule 2;0022;;;N;0;0;0;0;295;0;295;0;0;6;289;165;35;89;
09175127;Markt Schwaben;091751270023;BRIEFWAHLBEZIRK;Sporthalle Grund-und-Mittelschule 3;0023;;;N;0;0;0;0;282;0;282;0;0;6;276;153;35;88;
09175127;Markt Schwaben;091751270024;BRIEFWAHLBEZIRK;Sporthalle Grund-und-Mittelschule 4;0024;;;N;0;0;0;0;331;0;331;0;0;8;323;171;36;116;
09175127;Markt Schwaben;091751270025;BRIEFWAHLBEZIRK;Sporthalle Grund-und-Mittelschule 5;0025;;;N;0;0;0;0;336;0;336;0;0;4;332;198;25;109;
09175127;Markt Schwaben;091751270026;BRIEFWAHLBEZIRK;Sporthalle Grund-und-Mittelschule 6;0026;;;N;0;0;0;0;329;0;329;0;0;8;321;171;44;106;
09175127;Markt Schwaben;091751270027;BRIEFWAHLBEZIRK;Sporthalle Grund-und-Mittelschule 7;0027;;;N;0;0;0;0;336;0;336;0;0;6;330;172;39;119;
09175127;Markt Schwaben;091751270028;BRIEFWAHLBEZIRK;Sporthalle Grund-und-Mittelschule 8;0028;;;N;0;0;0;0;334;0;334;0;0;4;330;184;42;104;
09175127;Markt Schwaben;091751270029;BRIEFWAHLBEZIRK;Sporthalle Grund-und-Mittelschule 9;0029;;;N;0;0;0;0;333;0;333;0;0;9;324;171;35;118;
