Gebietsart;Gebietsnummer;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler ohne Wahlschein;Wähler mit Wahlschein;Briefwähler in Urnenwahlgebiet erfasst;Stimmabgabeart;Zeilenart;Gruppe-Schluessel;701 (Glaser);702 (Bockler);703 (Reindl);704 (Hartthaler);705 (Baumgartner);706 (Gräf);707 (Germeier);708 (Gell);709 (Trischler);710 (Störkle);711 (Weigl-Mühlfeld);712 (Reismann);713 (Bockler);714 (Pelz);715 (Rüggeberg);716 (Pelz);717 (Renner);718 (Baumgartner);719 (Pudelko);720 (Daschner);721 (Galleneder);722 (Reismann);723 (Englbrecht);724 (Hartthaler);725 (Salzberger);726 (Kirchlechner);727 (Gabel-Obermaier);728 (Wolf);729 (Kranner);730 (Ismair);731 (Ismair);732 (Schweisfurth)
STIMMBEZIRK;091751320003;635;439;0;315;2;0;URNE;ERFASSUNGSEINHEIT;ÖDP;17;9;7;4;4;4;7;4;5;7;4;9;5;8;4;4;4;5;4;4;4;6;6;4;4;6;2;2;2;3;2;1
STIMMBEZIRK;091751320004;457;326;0;226;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;9;9;5;2;2;6;3;6;2;2;2;2;5;2;2;2;2;3;2;2;2;3;2;2;2;1;0;0;2;0;0;0
STIMMBEZIRK;091751320005;585;315;0;181;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;14;12;13;7;10;6;7;7;4;4;6;4;6;4;4;4;6;4;4;4;4;4;4;4;3;2;1;1;1;1;1;1
STIMMBEZIRK;091751320006;509;344;0;239;1;0;URNE;ERFASSUNGSEINHEIT;ÖDP;18;18;12;12;12;21;15;12;12;21;12;12;11;10;10;10;10;10;10;10;10;10;19;11;10;10;5;5;5;5;5;14
STIMMBEZIRK;091751320007;583;372;0;264;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;12;6;5;5;5;7;5;5;5;5;2;2;2;2;2;2;2;4;2;4;2;2;4;2;4;2;1;1;1;1;1;1
STIMMBEZIRK;091751320008;437;370;0;200;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;21;21;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;7;10;10;10;10;10
STIMMBEZIRK;091751320009;399;323;0;218;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;18;15;13;10;10;10;10;13;10;13;10;10;10;10;10;10;10;13;10;13;10;10;10;10;10;10;5;5;5;8;8;8
STIMMBEZIRK;091751320010;475;393;0;235;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
STIMMBEZIRK;091751320011;427;326;0;192;1;0;URNE;ERFASSUNGSEINHEIT;ÖDP;20;16;11;10;11;11;10;10;10;10;10;13;10;10;8;11;8;11;8;8;8;8;8;8;11;11;4;4;4;4;4;7
STIMMBEZIRK;091751320012;350;285;0;146;2;0;URNE;ERFASSUNGSEINHEIT;ÖDP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1
STIMMBEZIRK;091751320013;377;340;0;208;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;21;12;10;7;10;10;10;7;10;16;4;4;7;4;4;4;4;7;4;7;4;7;4;4;10;4;2;2;2;1;1;4
STIMMBEZIRK;091751320014;446;359;0;228;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;6;3;8;2;2;5;2;2;2;2;2;2;2;2;2;2;5;2;2;2;2;2;2;2;2;2;1;1;4;1;1;1
STIMMBEZIRK;091751320015;324;302;0;183;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;15;18;13;7;9;9;6;7;6;9;6;8;9;8;6;6;6;6;6;6;6;6;6;6;6;6;3;3;3;3;3;3
STIMMBEZIRK;091751320016;451;252;0;148;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;9;9;7;7;7;7;7;7;7;10;7;7;7;7;7;7;7;10;7;6;4;7;4;4;5;4;2;2;2;2;2;2
STIMMBEZIRK;091751320017;403;405;0;165;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;12;12;10;6;6;6;6;6;9;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;9;9;3;3;3;3;3;3
STIMMBEZIRK;091751320018;327;321;0;189;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;15;12;6;6;9;6;6;9;9;9;9;6;9;6;6;6;9;9;6;6;6;6;9;6;6;6;3;3;6;3;3;6
