MaStRId,MaStRNummer,EEGAnlagenschluessel,status,registrierungMaStR,inbetriebnahme,inbetriebnahmeGeplant,stilllegung,name,betreiber,gebaeudeNutzung,plz,ort,strasse,hausnummer,lat,long,netzbetreiberPruefung,typ,module,ausrichtung,bruttoleistung_kW,nettonennleistung_kW,leistungsBegrenzung,EEGAusschreibung,einspeisung,mieterstrom
3592810,SEE951357476713,E2104101S000000000000024979600001,In Betrieb,2020-11-02,2011-12-30,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,22,Süd,5.28,5.28,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
4452753,SEE947905511241,,In Betrieb,2021-04-25,2011-12-30,,,,,GHD,85591,Vaterstetten,,,,,true,gebaeude,20,Süd-West,3.8,3.8,ohne,false,Volleinspeisung,false
3256742,SEE950610639186,E2104101S000000000000025458000001,In Betrieb,2020-07-18,2012-02-01,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,30,Süd,7.2,6.6,70%,false,Volleinspeisung,false
3854848,SEE948016842835,E2104101S000000000000025991700001,In Betrieb,2020-12-11,2012-03-01,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,20,Süd,4.9,4.9,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
4404095,SEE991455501863,,In Betrieb,2021-07-17,2012-03-01,,,,,haushalt,85591,Vaterstetten,,,,,false,gebaeude,26,Süd-West,5.2,2.0,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
2632173,SEE911363493364,E2104101S000000000000032456600001,In Betrieb,2019-12-27,2012-03-02,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,12,Süd-West,2.64,2.64,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3352922,SEE932970419851,E2104101S000000000000025749900001,In Betrieb,2020-11-04,2012-03-02,,,,,landwirtschaft,85622,Weißenfeld,,,,,true,gebaeude,120,Süd-West,28.8,28.8,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
1911661,SEE908982618469,E2104101S000000000000026595900001,In Betrieb,2019-03-06,2012-03-07,,,,,haushalt,85591,Vaterstetten,,,,,false,gebaeude,26,Süd,5.59,4.6,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
2773232,SEE919916873342,E2104101S000000000000036121300001,In Betrieb,2020-02-08,2012-03-07,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,32,Süd,6.08,6.08,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3801762,SEE932640363996,E2104101S000000000000029157700001,In Betrieb,2020-12-05,2012-03-07,,,,,landwirtschaft,85646,Purfing,,,,,true,gebaeude,57,Süd,13.4,13.4,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3037844,SEE914896648829,E2104101S160000000000033911300001,In Betrieb,2020-05-08,2012-03-08,,,,,GHD,85591,Vaterstetten,Verdistraße,45,48.107827,11.78331,true,gebaeude,1059,Süd,248.87,248.87,ohne,false,Volleinspeisung,false
1873703,SEE905453334477,E2104101S000000000000027249600001,In Betrieb,2019-02-22,2012-03-15,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,38,Süd-West,8.93,7.6,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
4007976,SEE947915054547,E2104101S000000000000029161000001,In Betrieb,2020-12-31,2012-03-20,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,62,Süd-Ost,12.09,12.09,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3259165,SEE975752851227,E2104101S160000000000031709500001,In Betrieb,2020-07-19,2012-03-29,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,18,Süd,3.78,3.78,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3893267,SEE996604195306,E2104101S000000000000031995500001,In Betrieb,2020-12-16,2012-03-29,,,,,haushalt,85646,Neufarn,,,,,true,gebaeude,21,Süd,4.8,4.8,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3999996,SEE931757616032,E2104101S000000000000029986400001,In Betrieb,2020-12-30,2012-03-29,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,16,Süd,3.76,3.76,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
4409684,SEE951242364569,,In Betrieb,2021-03-29,2012-03-30,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,21,Süd,5.06,2.0,sonstige,false,Teileinspeisung (einschließlich Eigenverbrauch),false
2613746,SEE916617919331,,In Betrieb,2019-12-19,2012-03-31,,,,,haushalt,85591,Vaterstetten,,,,,false,gebaeude,31,Süd-West,7.44,6.5,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3891180,SEE944875033278,E2104101S000000000000029742100001,In Betrieb,2020-12-15,2012-03-31,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,,Süd,2.48,2.48,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
4410804,SEE929370367011,E2104101S000000000000033031500001,In Betrieb,2021-03-29,2012-04-23,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,15,Süd,3.78,3.78,ohne,false,Volleinspeisung,false
2600718,SEE973625588775,E2104101S000000000000036213100001,In Betrieb,2019-12-15,2012-05-03,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,21,Süd,4.1,4.1,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3271190,SEE985088816753,E2104101S000000000000030423800001,In Betrieb,2020-07-22,2012-05-09,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,15,Süd-West,3.6,3.6,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
2886236,SEE903856438044,E2104101S000000000000029148600002,In Betrieb,2020-03-14,2012-05-31,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,14,Süd-Ost,3.36,2.5,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3560901,SEE995832027694,,In Betrieb,2020-10-19,2012-06-13,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,9,Süd,2.03,2.03,ohne,false,Volleinspeisung,false
4723472,SEE954668774424,E2104101S000000000000033441200001,In Betrieb,2021-10-25,2012-06-24,,,,,haushalt,85599,Parsdorf,,,,,false,gebaeude,31,Süd,6.51,6.51,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3870001,SEE953294132752,E2104101S160000000000037182300001,In Betrieb,2020-12-13,2012-06-28,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,25,Ost,4.88,4.88,sonstige,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3863219,SEE948290686729,E2104101S160000000000051892200001,In Betrieb,2020-12-12,2012-06-29,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,14,Süd,4.32,4.32,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
4354613,SEE914122387744,,In Betrieb,2021-01-25,2012-06-30,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,15,Süd,3.6,3.6,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3242947,SEE947449635687,E2104101S000000000000036330500001,In Betrieb,2020-07-14,2012-07-12,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,23,Süd,4.37,4.37,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
4018739,SEE929278834325,,In Betrieb,2021-01-01,2012-07-19,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,48,Süd-West,11.52,11.52,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3873360,SEE979457202223,E2104101S160000000000035525500001,In Betrieb,2020-12-13,2012-07-23,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,46,Süd,8.97,8.4,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
5066423,SEE993826430321,E2104101S160000000000035469100001,In Betrieb,2022-05-17,2012-08-07,,,,,haushalt,85599,Parsdorf,,,,,true,gebaeude,44,Süd,9.45,9.45,ohne,false,Volleinspeisung,false
2638328,SEE994237456276,E2104101S160000000000035556900001,In Betrieb,2019-12-29,2012-08-08,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,14,Süd-Ost,3.36,3.33,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3853478,SEE991879747885,E21041015160000000000037009500001,In Betrieb,2020-12-10,2012-08-23,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,34,Süd,8.33,8.3,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
4874021,SEE968922708018,E2104101S160000000000036214700001,In Betrieb,2022-09-10,2012-08-27,,,,,haushalt,85599,Hergolding,,,,,true,gebaeude,40,Süd,9.6,9.6,ohne,false,Volleinspeisung,false
